Demographic Trends of People Receiving COVID-19 Vaccinations in the United States,,,,,,,,https://covid.cdc.gov/covid-data-tracker/#vaccination-demographics-trends,,,,,,,
Date generated: Tue Apr 27 2021 08:33:10 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,,,,,
Disclaimer:,,,,,,,,,,,,,,,
Due to a data synchronization error between April 3-5 2021 the daily count of doses reporting “Unknown Age” in the COVID-19 Case Surveillance Public Use Data incorrectly appeared higher than expected. The issue was resolved on April 6 2021 and the count of doses reporting ‘Unknown Age’ accurately reflects the totals reported to CDC.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Date,Age Group,People with at least one dose,People who are fully vaccinated,Percent of age group with at least one dose,Percent of age group fully vaccinated,Census,,,,,,,,,
4/26/2021,Ages_75+_yrs,17242082,14462569,80.8,67.7,21351691,,,,,,,,,
4/25/2021,Ages_75+_yrs,17219221,14428783,80.6,67.6,21351691,,,,,,,,,
4/24/2021,Ages_75+_yrs,17186407,14371388,80.5,67.3,21351691,,,,,,,,,
4/23/2021,Ages_75+_yrs,17141893,14288615,80.3,66.9,21351691,,,,,,,,,
4/22/2021,Ages_75+_yrs,17093847,14203147,80.1,66.5,21351691,,,,,,,,,
4/21/2021,Ages_75+_yrs,17055107,14132216,79.9,66.2,21351691,,,,,,,,,
4/20/2021,Ages_75+_yrs,17019897,14064226,79.7,65.9,21351691,,,,,,,,,
4/19/2021,Ages_75+_yrs,16987123,14017719,79.6,65.7,21351691,,,,,,,,,
4/18/2021,Ages_75+_yrs,16966486,13974624,79.5,65.4,21351691,,,,,,,,,
4/17/2021,Ages_75+_yrs,16920118,13879371,79.2,65,21351691,,,,,,,,,
4/16/2021,Ages_75+_yrs,16869782,13773571,79,64.5,21351691,,,,,,,,,
4/15/2021,Ages_75+_yrs,16810900,13634439,78.7,63.9,21351691,,,,,,,,,
4/14/2021,Ages_75+_yrs,16752003,13531600,78.5,63.4,21351691,,,,,,,,,
4/13/2021,Ages_75+_yrs,16690952,13458753,78.2,63,21351691,,,,,,,,,
4/12/2021,Ages_75+_yrs,16654072,13389710,78,62.7,21351691,,,,,,,,,
4/11/2021,Ages_75+_yrs,16606933,13311346,77.8,62.3,21351691,,,,,,,,,
4/10/2021,Ages_75+_yrs,16542952,13184365,77.5,61.7,21351691,,,,,,,,,
4/9/2021,Ages_75+_yrs,16446296,12993032,77,60.9,21351691,,,,,,,,,
4/8/2021,Ages_75+_yrs,16369458,12847611,76.7,60.2,21351691,,,,,,,,,
4/7/2021,Ages_75+_yrs,16302018,12705813,76.4,59.5,21351691,,,,,,,,,
4/6/2021,Ages_75+_yrs,16229481,12581890,76,58.9,21351691,,,,,,,,,
4/5/2021,Ages_75+_yrs,16102923,12308715,75.4,57.6,21351691,,,,,,,,,
4/4/2021,Ages_75+_yrs,16102603,12306366,75.4,57.6,21351691,,,,,,,,,
4/3/2021,Ages_75+_yrs,16101974,12300827,75.4,57.6,21351691,,,,,,,,,
4/2/2021,Ages_75+_yrs,16015254,12113170,75,56.7,21351691,,,,,,,,,
4/1/2021,Ages_75+_yrs,15912865,11874028,74.5,55.6,21351691,,,,,,,,,
3/31/2021,Ages_75+_yrs,15827616,11694012,74.1,54.8,21351691,,,,,,,,,
3/30/2021,Ages_75+_yrs,15755182,11551989,73.8,54.1,21351691,,,,,,,,,
3/29/2021,Ages_75+_yrs,15717469,11462128,73.6,53.7,21351691,,,,,,,,,
3/28/2021,Ages_75+_yrs,15663561,11340051,73.4,53.1,21351691,,,,,,,,,
3/27/2021,Ages_75+_yrs,15575262,11142600,72.9,52.2,21351691,,,,,,,,,
3/26/2021,Ages_75+_yrs,15462377,10930398,72.4,51.2,21351691,,,,,,,,,
3/25/2021,Ages_75+_yrs,15336407,10737229,71.8,50.3,21351691,,,,,,,,,
3/24/2021,Ages_75+_yrs,15231705,10576756,71.3,49.5,21351691,,,,,,,,,
3/23/2021,Ages_75+_yrs,15131315,10437991,70.9,48.9,21351691,,,,,,,,,
3/22/2021,Ages_75+_yrs,15049439,10343006,70.5,48.4,21351691,,,,,,,,,
3/21/2021,Ages_75+_yrs,14979562,10223314,70.2,47.9,21351691,,,,,,,,,
3/20/2021,Ages_75+_yrs,14859889,10037685,69.6,47,21351691,,,,,,,,,
3/19/2021,Ages_75+_yrs,14715208,9822558,68.9,46,21351691,,,,,,,,,
3/18/2021,Ages_75+_yrs,14594447,9625365,68.4,45.1,21351691,,,,,,,,,
3/17/2021,Ages_75+_yrs,14460747,9423293,67.7,44.1,21351691,,,,,,,,,
3/16/2021,Ages_75+_yrs,14340182,9217051,67.2,43.2,21351691,,,,,,,,,
3/15/2021,Ages_75+_yrs,14257231,9071956,66.8,42.5,21351691,,,,,,,,,
3/14/2021,Ages_75+_yrs,14156019,8891642,66.3,41.6,21351691,,,,,,,,,
3/13/2021,Ages_75+_yrs,14002765,8662255,65.6,40.6,21351691,,,,,,,,,
3/12/2021,Ages_75+_yrs,13673017,8343114,64,39.1,21351691,,,,,,,,,
3/11/2021,Ages_75+_yrs,13485719,8049891,63.2,37.7,21351691,,,,,,,,,
3/10/2021,Ages_75+_yrs,13304130,7812890,62.3,36.6,21351691,,,,,,,,,
3/9/2021,Ages_75+_yrs,13154724,7636734,61.6,35.8,21351691,,,,,,,,,
3/8/2021,Ages_75+_yrs,13043637,7514212,61.1,35.2,21351691,,,,,,,,,
3/7/2021,Ages_75+_yrs,12929032,7346671,60.6,34.4,21351691,,,,,,,,,
3/6/2021,Ages_75+_yrs,12731122,7099980,59.6,33.3,21351691,,,,,,,,,
3/5/2021,Ages_75+_yrs,12466092,6791260,58.4,31.8,21351691,,,,,,,,,
3/4/2021,Ages_75+_yrs,12233430,6515564,57.3,30.5,21351691,,,,,,,,,
3/3/2021,Ages_75+_yrs,12038661,6270596,56.4,29.4,21351691,,,,,,,,,
3/2/2021,Ages_75+_yrs,11878593,6059690,55.6,28.4,21351691,,,,,,,,,
3/1/2021,Ages_75+_yrs,11729555,5904656,54.9,27.7,21351691,,,,,,,,,
2/28/2021,Ages_75+_yrs,11574978,5669523,54.2,26.6,21351691,,,,,,,,,
2/27/2021,Ages_75+_yrs,11338496,5345059,53.1,25,21351691,,,,,,,,,
2/26/2021,Ages_75+_yrs,11093517,4998144,52,23.4,21351691,,,,,,,,,
2/25/2021,Ages_75+_yrs,10871392,4673220,50.9,21.9,21351691,,,,,,,,,
2/24/2021,Ages_75+_yrs,10694464,4394804,50.1,20.6,21351691,,,,,,,,,
2/23/2021,Ages_75+_yrs,10550922,4168729,49.4,19.5,21351691,,,,,,,,,
2/22/2021,Ages_75+_yrs,10474157,4033613,49.1,18.9,21351691,,,,,,,,,
2/21/2021,Ages_75+_yrs,10363096,3835010,48.5,18,21351691,,,,,,,,,
2/20/2021,Ages_75+_yrs,10172271,3527218,47.6,16.5,21351691,,,,,,,,,
2/19/2021,Ages_75+_yrs,9983044,3243811,46.8,15.2,21351691,,,,,,,,,
2/18/2021,Ages_75+_yrs,9746808,2960182,45.6,13.9,21351691,,,,,,,,,
2/17/2021,Ages_75+_yrs,9561227,2745388,44.8,12.9,21351691,,,,,,,,,
2/16/2021,Ages_75+_yrs,9414919,2612181,44.1,12.2,21351691,,,,,,,,,
2/15/2021,Ages_75+_yrs,9290787,2501231,43.5,11.7,21351691,,,,,,,,,
2/14/2021,Ages_75+_yrs,9092940,2336611,42.6,10.9,21351691,,,,,,,,,
2/13/2021,Ages_75+_yrs,8787177,2061206,41.2,9.7,21351691,,,,,,,,,
2/12/2021,Ages_75+_yrs,8465651,1797011,39.6,8.4,21351691,,,,,,,,,
2/11/2021,Ages_75+_yrs,8179967,1558473,38.3,7.3,21351691,,,,,,,,,
2/10/2021,Ages_75+_yrs,7931631,1383392,37.1,6.5,21351691,,,,,,,,,
2/9/2021,Ages_75+_yrs,7690018,1218694,36,5.7,21351691,,,,,,,,,
2/8/2021,Ages_75+_yrs,7535351,1140126,35.3,5.3,21351691,,,,,,,,,
2/7/2021,Ages_75+_yrs,7322905,1068003,34.3,5,21351691,,,,,,,,,
2/6/2021,Ages_75+_yrs,6992095,909400,32.7,4.3,21351691,,,,,,,,,
2/5/2021,Ages_75+_yrs,6609427,752273,31,3.5,21351691,,,,,,,,,
2/4/2021,Ages_75+_yrs,6319967,649141,29.6,3,21351691,,,,,,,,,
2/3/2021,Ages_75+_yrs,6054082,554276,28.4,2.6,21351691,,,,,,,,,
2/2/2021,Ages_75+_yrs,5846100,491220,27.4,2.3,21351691,,,,,,,,,
2/1/2021,Ages_75+_yrs,5696447,462063,26.7,2.2,21351691,,,,,,,,,
1/31/2021,Ages_75+_yrs,5434458,412858,25.5,1.9,21351691,,,,,,,,,
1/30/2021,Ages_75+_yrs,5074536,354772,23.8,1.7,21351691,,,,,,,,,
1/29/2021,Ages_75+_yrs,4690820,285623,22,1.3,21351691,,,,,,,,,
1/28/2021,Ages_75+_yrs,4327182,225702,20.3,1.1,21351691,,,,,,,,,
1/27/2021,Ages_75+_yrs,4020412,183141,18.8,0.9,21351691,,,,,,,,,
1/26/2021,Ages_75+_yrs,3774332,159149,17.7,0.7,21351691,,,,,,,,,
1/25/2021,Ages_75+_yrs,3593243,144183,16.8,0.7,21351691,,,,,,,,,
1/24/2021,Ages_75+_yrs,3337131,135737,15.6,0.6,21351691,,,,,,,,,
1/23/2021,Ages_75+_yrs,2984559,117687,14,0.6,21351691,,,,,,,,,
1/22/2021,Ages_75+_yrs,2625413,92569,12.3,0.4,21351691,,,,,,,,,
1/21/2021,Ages_75+_yrs,2307246,68900,10.8,0.3,21351691,,,,,,,,,
1/20/2021,Ages_75+_yrs,2093405,59379,9.8,0.3,21351691,,,,,,,,,
1/19/2021,Ages_75+_yrs,1908743,52877,8.9,0.2,21351691,,,,,,,,,
1/18/2021,Ages_75+_yrs,1800596,50209,8.4,0.2,21351691,,,,,,,,,
1/17/2021,Ages_75+_yrs,1642990,45272,7.7,0.2,21351691,,,,,,,,,
1/16/2021,Ages_75+_yrs,1428400,37869,6.7,0.2,21351691,,,,,,,,,
1/15/2021,Ages_75+_yrs,1195005,29669,5.6,0.1,21351691,,,,,,,,,
1/14/2021,Ages_75+_yrs,1004155,20804,4.7,0.1,21351691,,,,,,,,,
1/13/2021,Ages_75+_yrs,866589,15602,4.1,0.1,21351691,,,,,,,,,
1/12/2021,Ages_75+_yrs,744077,12461,3.5,0.1,21351691,,,,,,,,,
1/11/2021,Ages_75+_yrs,680652,11374,3.2,0.1,21351691,,,,,,,,,
1/10/2021,Ages_75+_yrs,616550,10168,2.9,0,21351691,,,,,,,,,
1/9/2021,Ages_75+_yrs,494899,7456,2.3,0,21351691,,,,,,,,,
1/8/2021,Ages_75+_yrs,406620,5059,1.9,0,21351691,,,,,,,,,
1/7/2021,Ages_75+_yrs,323630,3104,1.5,0,21351691,,,,,,,,,
1/6/2021,Ages_75+_yrs,265745,1009,1.2,0,21351691,,,,,,,,,
1/5/2021,Ages_75+_yrs,225547,727,1.1,0,21351691,,,,,,,,,
1/4/2021,Ages_75+_yrs,209816,705,1,0,21351691,,,,,,,,,
1/3/2021,Ages_75+_yrs,170503,615,0.8,0,21351691,,,,,,,,,
1/2/2021,Ages_75+_yrs,150457,528,0.7,0,21351691,,,,,,,,,
1/1/2021,Ages_75+_yrs,124623,400,0.6,0,21351691,,,,,,,,,
12/31/2020,Ages_75+_yrs,91206,270,0.4,0,21351691,,,,,,,,,
12/30/2020,Ages_75+_yrs,65315,203,0.3,0,21351691,,,,,,,,,
12/29/2020,Ages_75+_yrs,50098,127,0.2,0,21351691,,,,,,,,,
12/28/2020,Ages_75+_yrs,45476,103,0.2,0,21351691,,,,,,,,,
12/27/2020,Ages_75+_yrs,42824,90,0.2,0,21351691,,,,,,,,,
12/26/2020,Ages_75+_yrs,34301,77,0.2,0,21351691,,,,,,,,,
12/25/2020,Ages_75+_yrs,26845,49,0.1,0,21351691,,,,,,,,,
12/24/2020,Ages_75+_yrs,15312,33,0.1,0,21351691,,,,,,,,,
12/23/2020,Ages_75+_yrs,9524,17,0,0,21351691,,,,,,,,,
12/22/2020,Ages_75+_yrs,6663,11,0,0,21351691,,,,,,,,,
12/21/2020,Ages_75+_yrs,5279,10,0,0,21351691,,,,,,,,,
12/20/2020,Ages_75+_yrs,3881,9,0,0,21351691,,,,,,,,,
12/19/2020,Ages_75+_yrs,1848,6,0,0,21351691,,,,,,,,,
12/18/2020,Ages_75+_yrs,646,4,0,0,21351691,,,,,,,,,
12/17/2020,Ages_75+_yrs,126,0,0,0,21351691,,,,,,,,,
12/16/2020,Ages_75+_yrs,4,0,0,0,21351691,,,,,,,,,
4/26/2021,Ages_65-74_yrs,24535271,20157225,82.9,68.1,29610164,,,,,,,,,
4/25/2021,Ages_65-74_yrs,24486028,20083048,82.7,67.8,29610164,,,,,,,,,
4/24/2021,Ages_65-74_yrs,24421945,19960385,82.5,67.4,29610164,,,,,,,,,
4/23/2021,Ages_65-74_yrs,24338312,19791108,82.2,66.8,29610164,,,,,,,,,
4/22/2021,Ages_65-74_yrs,24245545,19609436,81.9,66.2,29610164,,,,,,,,,
4/21/2021,Ages_65-74_yrs,24170449,19463256,81.6,65.7,29610164,,,,,,,,,
4/20/2021,Ages_65-74_yrs,24102656,19322630,81.4,65.3,29610164,,,,,,,,,
4/19/2021,Ages_65-74_yrs,24042448,19241278,81.2,65,29610164,,,,,,,,,
4/18/2021,Ages_65-74_yrs,23998538,19143599,81,64.7,29610164,,,,,,,,,
4/17/2021,Ages_65-74_yrs,23905119,18944680,80.7,64,29610164,,,,,,,,,
4/16/2021,Ages_65-74_yrs,23806913,18720121,80.4,63.2,29610164,,,,,,,,,
4/15/2021,Ages_65-74_yrs,23690802,18443623,80,62.3,29610164,,,,,,,,,
4/14/2021,Ages_65-74_yrs,23575583,18228541,79.6,61.6,29610164,,,,,,,,,
4/13/2021,Ages_65-74_yrs,23446097,18067397,79.2,61,29610164,,,,,,,,,
4/12/2021,Ages_65-74_yrs,23369569,17922546,78.9,60.5,29610164,,,,,,,,,
4/11/2021,Ages_65-74_yrs,23276350,17753706,78.6,60,29610164,,,,,,,,,
4/10/2021,Ages_65-74_yrs,23149551,17489232,78.2,59.1,29610164,,,,,,,,,
4/9/2021,Ages_65-74_yrs,22962360,17105201,77.5,57.8,29610164,,,,,,,,,
4/8/2021,Ages_65-74_yrs,22808605,16799380,77,56.7,29610164,,,,,,,,,
4/7/2021,Ages_65-74_yrs,22672779,16501199,76.6,55.7,29610164,,,,,,,,,
4/6/2021,Ages_65-74_yrs,22533607,16240167,76.1,54.8,29610164,,,,,,,,,
4/5/2021,Ages_65-74_yrs,22267613,15622332,75.2,52.8,29610164,,,,,,,,,
4/4/2021,Ages_65-74_yrs,22266388,15616426,75.2,52.7,29610164,,,,,,,,,
4/3/2021,Ages_65-74_yrs,22263837,15602705,75.2,52.7,29610164,,,,,,,,,
4/2/2021,Ages_65-74_yrs,22087128,15190182,74.6,51.3,29610164,,,,,,,,,
4/1/2021,Ages_65-74_yrs,21889450,14720951,73.9,49.7,29610164,,,,,,,,,
3/31/2021,Ages_65-74_yrs,21723090,14339458,73.4,48.4,29610164,,,,,,,,,
3/30/2021,Ages_65-74_yrs,21581170,14023255,72.9,47.4,29610164,,,,,,,,,
3/29/2021,Ages_65-74_yrs,21501355,13813871,72.6,46.7,29610164,,,,,,,,,
3/28/2021,Ages_65-74_yrs,21383290,13536779,72.2,45.7,29610164,,,,,,,,,
3/27/2021,Ages_65-74_yrs,21201889,13117593,71.6,44.3,29610164,,,,,,,,,
3/26/2021,Ages_65-74_yrs,20975353,12683929,70.8,42.8,29610164,,,,,,,,,
3/25/2021,Ages_65-74_yrs,20728592,12296272,70,41.5,29610164,,,,,,,,,
3/24/2021,Ages_65-74_yrs,20515196,11983808,69.3,40.5,29610164,,,,,,,,,
3/23/2021,Ages_65-74_yrs,20309307,11716387,68.6,39.6,29610164,,,,,,,,,
3/22/2021,Ages_65-74_yrs,20139648,11529577,68,38.9,29610164,,,,,,,,,
3/21/2021,Ages_65-74_yrs,19981325,11287371,67.5,38.1,29610164,,,,,,,,,
3/20/2021,Ages_65-74_yrs,19726461,10925770,66.6,36.9,29610164,,,,,,,,,
3/19/2021,Ages_65-74_yrs,19437201,10541785,65.6,35.6,29610164,,,,,,,,,
3/18/2021,Ages_65-74_yrs,19171396,10194850,64.7,34.4,29610164,,,,,,,,,
3/17/2021,Ages_65-74_yrs,18897862,9845108,63.8,33.2,29610164,,,,,,,,,
3/16/2021,Ages_65-74_yrs,18644030,9544976,63,32.2,29610164,,,,,,,,,
3/15/2021,Ages_65-74_yrs,18463122,9311211,62.4,31.4,29610164,,,,,,,,,
3/14/2021,Ages_65-74_yrs,18224840,9021738,61.5,30.5,29610164,,,,,,,,,
3/13/2021,Ages_65-74_yrs,17886530,8664409,60.4,29.3,29610164,,,,,,,,,
3/12/2021,Ages_65-74_yrs,17378283,8229252,58.7,27.8,29610164,,,,,,,,,
3/11/2021,Ages_65-74_yrs,16982755,7791445,57.4,26.3,29610164,,,,,,,,,
3/10/2021,Ages_65-74_yrs,16613006,7446645,56.1,25.1,29610164,,,,,,,,,
3/9/2021,Ages_65-74_yrs,16286689,7196445,55,24.3,29610164,,,,,,,,,
3/8/2021,Ages_65-74_yrs,16046801,7034172,54.2,23.8,29610164,,,,,,,,,
3/7/2021,Ages_65-74_yrs,15776287,6810067,53.3,23,29610164,,,,,,,,,
3/6/2021,Ages_65-74_yrs,15351360,6476263,51.8,21.9,29610164,,,,,,,,,
3/5/2021,Ages_65-74_yrs,14808031,6112233,50,20.6,29610164,,,,,,,,,
3/4/2021,Ages_65-74_yrs,14328377,5811266,48.4,19.6,29610164,,,,,,,,,
3/3/2021,Ages_65-74_yrs,13935310,5545659,47.1,18.7,29610164,,,,,,,,,
3/2/2021,Ages_65-74_yrs,13583645,5301677,45.9,17.9,29610164,,,,,,,,,
3/1/2021,Ages_65-74_yrs,13286737,5157873,44.9,17.4,29610164,,,,,,,,,
2/28/2021,Ages_65-74_yrs,12942619,4934509,43.7,16.7,29610164,,,,,,,,,
2/27/2021,Ages_65-74_yrs,12496496,4627239,42.2,15.6,29610164,,,,,,,,,
2/26/2021,Ages_65-74_yrs,12044293,4289198,40.7,14.5,29610164,,,,,,,,,
2/25/2021,Ages_65-74_yrs,11658262,3986035,39.4,13.5,29610164,,,,,,,,,
2/24/2021,Ages_65-74_yrs,11359145,3736673,38.4,12.6,29610164,,,,,,,,,
2/23/2021,Ages_65-74_yrs,11112515,3541981,37.5,12,29610164,,,,,,,,,
2/22/2021,Ages_65-74_yrs,10983551,3430913,37.1,11.6,29610164,,,,,,,,,
2/21/2021,Ages_65-74_yrs,10809209,3279173,36.5,11.1,29610164,,,,,,,,,
2/20/2021,Ages_65-74_yrs,10520664,3008449,35.5,10.2,29610164,,,,,,,,,
2/19/2021,Ages_65-74_yrs,10224923,2782512,34.5,9.4,29610164,,,,,,,,,
2/18/2021,Ages_65-74_yrs,9857110,2545980,33.3,8.6,29610164,,,,,,,,,
2/17/2021,Ages_65-74_yrs,9578904,2349696,32.4,7.9,29610164,,,,,,,,,
2/16/2021,Ages_65-74_yrs,9361184,2234180,31.6,7.5,29610164,,,,,,,,,
2/15/2021,Ages_65-74_yrs,9152906,2133272,30.9,7.2,29610164,,,,,,,,,
2/14/2021,Ages_65-74_yrs,8848230,2006288,29.9,6.8,29610164,,,,,,,,,
2/13/2021,Ages_65-74_yrs,8419866,1780659,28.4,6,29610164,,,,,,,,,
2/12/2021,Ages_65-74_yrs,7992893,1575582,27,5.3,29610164,,,,,,,,,
2/11/2021,Ages_65-74_yrs,7612487,1378734,25.7,4.7,29610164,,,,,,,,,
2/10/2021,Ages_65-74_yrs,7306937,1237034,24.7,4.2,29610164,,,,,,,,,
2/9/2021,Ages_65-74_yrs,7019746,1117923,23.7,3.8,29610164,,,,,,,,,
2/8/2021,Ages_65-74_yrs,6840345,1054698,23.1,3.6,29610164,,,,,,,,,
2/7/2021,Ages_65-74_yrs,6603234,997373,22.3,3.4,29610164,,,,,,,,,
2/6/2021,Ages_65-74_yrs,6214770,859988,21,2.9,29610164,,,,,,,,,
2/5/2021,Ages_65-74_yrs,5801962,726583,19.6,2.5,29610164,,,,,,,,,
2/4/2021,Ages_65-74_yrs,5486723,649554,18.5,2.2,29610164,,,,,,,,,
2/3/2021,Ages_65-74_yrs,5213984,573182,17.6,1.9,29610164,,,,,,,,,
2/2/2021,Ages_65-74_yrs,5006043,522963,16.9,1.8,29610164,,,,,,,,,
2/1/2021,Ages_65-74_yrs,4881678,500935,16.5,1.7,29610164,,,,,,,,,
1/31/2021,Ages_65-74_yrs,4649662,466755,15.7,1.6,29610164,,,,,,,,,
1/30/2021,Ages_65-74_yrs,4323402,422201,14.6,1.4,29610164,,,,,,,,,
1/29/2021,Ages_65-74_yrs,3995473,368586,13.5,1.2,29610164,,,,,,,,,
1/28/2021,Ages_65-74_yrs,3675590,313066,12.4,1.1,29610164,,,,,,,,,
1/27/2021,Ages_65-74_yrs,3381130,270337,11.4,0.9,29610164,,,,,,,,,
1/26/2021,Ages_65-74_yrs,3171930,241603,10.7,0.8,29610164,,,,,,,,,
1/25/2021,Ages_65-74_yrs,3010389,232109,10.2,0.8,29610164,,,,,,,,,
1/24/2021,Ages_65-74_yrs,2820209,222585,9.5,0.8,29610164,,,,,,,,,
1/23/2021,Ages_65-74_yrs,2526836,205737,8.5,0.7,29610164,,,,,,,,,
1/22/2021,Ages_65-74_yrs,2240177,182266,7.6,0.6,29610164,,,,,,,,,
1/21/2021,Ages_65-74_yrs,1979938,153887,6.7,0.5,29610164,,,,,,,,,
1/20/2021,Ages_65-74_yrs,1812958,135753,6.1,0.5,29610164,,,,,,,,,
1/19/2021,Ages_65-74_yrs,1656712,125132,5.6,0.4,29610164,,,,,,,,,
1/18/2021,Ages_65-74_yrs,1576754,121009,5.3,0.4,29610164,,,,,,,,,
1/17/2021,Ages_65-74_yrs,1471599,115975,5,0.4,29610164,,,,,,,,,
1/16/2021,Ages_65-74_yrs,1302788,106991,4.4,0.4,29610164,,,,,,,,,
1/15/2021,Ages_65-74_yrs,1104397,95273,3.7,0.3,29610164,,,,,,,,,
1/14/2021,Ages_65-74_yrs,981764,78778,3.3,0.3,29610164,,,,,,,,,
1/13/2021,Ages_65-74_yrs,879233,62523,3,0.2,29610164,,,,,,,,,
1/12/2021,Ages_65-74_yrs,786350,47735,2.7,0.2,29610164,,,,,,,,,
1/11/2021,Ages_65-74_yrs,738653,43120,2.5,0.1,29610164,,,,,,,,,
1/10/2021,Ages_65-74_yrs,697394,36587,2.4,0.1,29610164,,,,,,,,,
1/9/2021,Ages_65-74_yrs,585939,22656,2,0.1,29610164,,,,,,,,,
1/8/2021,Ages_65-74_yrs,500573,12204,1.7,0,29610164,,,,,,,,,
1/7/2021,Ages_65-74_yrs,423493,5741,1.4,0,29610164,,,,,,,,,
1/6/2021,Ages_65-74_yrs,363190,2277,1.2,0,29610164,,,,,,,,,
1/5/2021,Ages_65-74_yrs,321419,1197,1.1,0,29610164,,,,,,,,,
1/4/2021,Ages_65-74_yrs,309232,1110,1,0,29610164,,,,,,,,,
1/3/2021,Ages_65-74_yrs,291107,1043,1,0,29610164,,,,,,,,,
1/2/2021,Ages_65-74_yrs,274729,990,0.9,0,29610164,,,,,,,,,
1/1/2021,Ages_65-74_yrs,246014,866,0.8,0,29610164,,,,,,,,,
12/31/2020,Ages_65-74_yrs,199881,717,0.7,0,29610164,,,,,,,,,
12/30/2020,Ages_65-74_yrs,161672,549,0.5,0,29610164,,,,,,,,,
12/29/2020,Ages_65-74_yrs,132988,353,0.4,0,29610164,,,,,,,,,
12/28/2020,Ages_65-74_yrs,124375,306,0.4,0,29610164,,,,,,,,,
12/27/2020,Ages_65-74_yrs,118061,292,0.4,0,29610164,,,,,,,,,
12/26/2020,Ages_65-74_yrs,111309,282,0.4,0,29610164,,,,,,,,,
12/25/2020,Ages_65-74_yrs,98678,243,0.3,0,29610164,,,,,,,,,
12/24/2020,Ages_65-74_yrs,71942,185,0.2,0,29610164,,,,,,,,,
12/23/2020,Ages_65-74_yrs,50751,117,0.2,0,29610164,,,,,,,,,
12/22/2020,Ages_65-74_yrs,36917,91,0.1,0,29610164,,,,,,,,,
12/21/2020,Ages_65-74_yrs,30570,72,0.1,0,29610164,,,,,,,,,
12/20/2020,Ages_65-74_yrs,23433,49,0.1,0,29610164,,,,,,,,,
12/19/2020,Ages_65-74_yrs,10998,28,0,0,29610164,,,,,,,,,
12/18/2020,Ages_65-74_yrs,3930,6,0,0,29610164,,,,,,,,,
12/17/2020,Ages_65-74_yrs,792,1,0,0,29610164,,,,,,,,,
12/16/2020,Ages_65-74_yrs,68,0,0,0,29610164,,,,,,,,,
4/26/2021,Ages_50-64_yrs,35704594,24182022,60.8,41.2,58678494,,,,,,,,,
4/25/2021,Ages_50-64_yrs,35471163,23802228,60.5,40.6,58678494,,,,,,,,,
4/24/2021,Ages_50-64_yrs,35156903,23210439,59.9,39.6,58678494,,,,,,,,,
